--- تقرير إنتاجية المعدات - إعداد المهندس رأفت حزا ---
تاريخ التحليل: 2026-04-01 07:51:57
الوقت (ثانية)   | المعدة                    | الحالة         
------------------------------------------------------------
1.00            | Haul Truck CAT 777        | Detected (66.42%)
1.00            | Excavator Liebherr R 9350 | Detected (39.90%)
2.00            | Haul Truck CAT 777        | Detected (71.86%)
2.00            | Excavator Liebherr R 9350 | Detected (41.09%)
3.00            | Haul Truck CAT 777        | Detected (69.15%)
4.00            | Haul Truck CAT 777        | Detected (76.35%)
4.00            | Excavator Liebherr R 9350 | Detected (52.03%)
5.00            | Excavator Liebherr R 9350 | Detected (65.24%)
5.00            | Excavator Liebherr R 9350 | Detected (61.52%)
6.00            | Excavator Liebherr R 9350 | Detected (80.20%)
6.00            | Excavator Liebherr R 9350 | Detected (66.83%)
6.00            | Excavator Liebherr R 9350 | Detected (61.50%)
7.00            | Excavator Liebherr R 9350 | Detected (67.39%)
7.00            | Excavator Liebherr R 9350 | Detected (44.50%)
7.00            | Excavator Liebherr R 9350 | Detected (42.46%)
8.00            | Excavator Liebherr R 9350 | Detected (70.08%)
8.00            | Excavator Liebherr R 9350 | Detected (36.04%)
9.00            | Excavator Liebherr R 9350 | Detected (65.61%)
9.00            | Excavator Liebherr R 9350 | Detected (35.81%)
10.00           | Excavator Liebherr R 9350 | Detected (62.35%)
10.00           | Excavator Liebherr R 9350 | Detected (44.42%)
10.00           | Excavator Liebherr R 9350 | Detected (39.87%)
11.00           | Excavator Liebherr R 9350 | Detected (74.33%)
11.00           | Excavator Liebherr R 9350 | Detected (43.82%)
12.00           | Excavator Liebherr R 9350 | Detected (80.56%)
12.00           | Excavator Liebherr R 9350 | Detected (44.35%)
12.00           | Excavator Liebherr R 9350 | Detected (38.24%)
13.00           | Excavator Liebherr R 9350 | Detected (77.25%)
13.00           | Excavator Liebherr R 9350 | Detected (55.64%)
13.00           | Excavator Liebherr R 9350 | Detected (35.66%)
14.00           | Excavator Liebherr R 9350 | Detected (82.85%)
14.00           | Excavator Liebherr R 9350 | Detected (63.66%)
15.00           | Excavator Liebherr R 9350 | Detected (77.67%)
15.00           | Excavator Liebherr R 9350 | Detected (68.32%)
16.00           | Excavator Liebherr R 9350 | Detected (78.68%)
16.00           | Excavator Liebherr R 9350 | Detected (75.98%)
16.00           | Excavator Liebherr R 9350 | Detected (40.77%)
17.00           | Excavator Liebherr R 9350 | Detected (78.94%)
17.00           | Excavator Liebherr R 9350 | Detected (41.84%)
18.00           | Excavator Liebherr R 9350 | Detected (81.63%)
18.00           | Excavator Liebherr R 9350 | Detected (74.35%)
18.00           | Excavator Liebherr R 9350 | Detected (35.22%)
19.00           | Excavator Liebherr R 9350 | Detected (75.39%)
19.00           | Excavator Liebherr R 9350 | Detected (38.28%)
19.00           | Excavator Liebherr R 9350 | Detected (35.61%)
20.00           | Excavator Liebherr R 9350 | Detected (79.50%)
20.00           | Excavator Liebherr R 9350 | Detected (55.86%)
21.00           | Excavator Liebherr R 9350 | Detected (72.97%)
21.00           | Excavator Liebherr R 9350 | Detected (50.28%)
22.00           | Excavator Liebherr R 9350 | Detected (64.47%)
22.00           | Excavator Liebherr R 9350 | Detected (55.10%)
22.00           | Excavator Liebherr R 9350 | Detected (40.62%)
23.00           | Excavator Liebherr R 9350 | Detected (75.22%)
23.00           | Excavator Liebherr R 9350 | Detected (39.92%)
24.00           | Excavator Liebherr R 9350 | Detected (77.74%)
24.00           | Excavator Liebherr R 9350 | Detected (63.69%)
25.00           | Excavator Liebherr R 9350 | Detected (80.80%)
26.00           | Excavator Liebherr R 9350 | Detected (82.88%)
27.00           | Excavator Liebherr R 9350 | Detected (78.01%)
27.00           | Excavator Liebherr R 9350 | Detected (71.10%)
27.00           | Excavator Liebherr R 9350 | Detected (36.48%)
28.00           | Excavator Liebherr R 9350 | Detected (83.95%)
28.00           | Excavator Liebherr R 9350 | Detected (74.31%)
29.00           | Excavator Liebherr R 9350 | Detected (81.55%)
29.00           | Excavator Liebherr R 9350 | Detected (57.35%)
29.00           | Excavator Liebherr R 9350 | Detected (36.34%)
30.00           | Excavator Liebherr R 9350 | Detected (86.86%)
30.00           | Excavator Liebherr R 9350 | Detected (39.96%)
31.00           | Excavator Liebherr R 9350 | Detected (35.52%)
31.00           | Haul Truck CAT 777        | Detected (35.44%)
